jour,prix,score
0,65.5199966430664,-0.1111111111111111
1,64.9800033569336,-0.1111111111111111
2,65.45999908447266,-0.1111111111111111
3,64.66000366210938,-0.1111111111111111
4,64.86000061035156,-0.1111111111111111
5,65.23999786376953,-0.1111111111111111
6,64.08000183105469,-0.1111111111111111
7,64.77999877929688,-0.1111111111111111
8,64.73999786376953,-0.1111111111111111
9,64.4000015258789,-0.1111111111111111
10,65.0199966430664,-0.1111111111111111
11,64.94000244140625,-0.1111111111111111
12,67.4800033569336,-0.1111111111111111
13,66.9000015258789,-0.1111111111111111
14,67.16000366210938,-0.1111111111111111
15,68.4800033569336,-0.1111111111111111
16,68.86000061035156,-0.1111111111111111
17,71.81999969482422,-0.1111111111111111
18,71.44000244140625,-0.1111111111111111
19,71.87999725341797,-0.1111111111111111
20,70.81999969482422,-0.1111111111111111
21,72.31999969482422,-0.1111111111111111
22,71.19999694824219,-0.1111111111111111
23,73.73999786376953,-0.1111111111111111
24,74.77999877929688,-0.1111111111111111
25,76.94000244140625,-0.1111111111111111
